month,db-name,value
2012-10,Oracle,1516.56
2012-11,Oracle,1488.939
2012-12,Oracle,1559.332
2013-01,Oracle,1567.933
2013-02,Oracle,1533.395
2013-03,Oracle,1560.594
2013-04,Oracle,1545.86
2013-05,Oracle,1514.896
2013-06,Oracle,1527.639
2013-07,Oracle,1544.436
2013-08,Oracle,1529.611
2013-09,Oracle,1583.845
2013-10,Oracle,1617.192
2013-11,Oracle,1468.058
2013-12,Oracle,1467.794
2014-01,Oracle,1500.229
2014-02,Oracle,1491.799
2014-03,Oracle,1514.08
2014-04,Oracle,1502.739
2014-05,Oracle,1500.918
2014-06,Oracle,1485.117
2014-07,Oracle,1470.857
2014-08,Oracle,1466.908
2014-09,Oracle,1471.898
2014-10,Oracle,1452.127
2014-11,Oracle,1459.795
2014-12,Oracle,1439.161
2015-01,Oracle,1439.72
2015-02,Oracle,1469.086
2015-03,Oracle,1446.129
2015-04,Oracle,1442.097
2015-05,Oracle,1466.361
2015-06,Oracle,1456.724
2015-07,Oracle,1453.024
2015-08,Oracle,1463.374
2015-09,Oracle,1466.952
2015-10,Oracle,1480.946
2015-11,Oracle,1497.555
2015-12,Oracle,1496.084
2016-01,Oracle,1476.141
2016-02,Oracle,1472.012
2016-03,Oracle,1467.532
2016-04,Oracle,1462.024
2016-05,Oracle,1449.248
2016-06,Oracle,1441.528
2016-07,Oracle,1427.722
2016-08,Oracle,1425.565
2016-09,Oracle,1417.102
2016-10,Oracle,1413.008
2016-11,Oracle,1404.405
2016-12,Oracle,1416.724
2017-01,Oracle,1403.83
2017-02,Oracle,1399.498
2017-03,Oracle,1401.996
2017-04,Oracle,1354.314
2017-05,Oracle,1351.762
2017-06,Oracle,1374.877
2017-07,Oracle,1367.875
2017-08,Oracle,1359.09
2017-09,Oracle,1348.804
2017-10,Oracle,1360.052
2017-11,Oracle,1341.545
2017-12,Oracle,1341.941
2018-01,Oracle,1303.277
2018-02,Oracle,1289.607
2018-03,Oracle,1289.787
2018-04,Oracle,1290.416
2018-05,Oracle,1311.252
2018-06,Oracle,1277.787
2018-07,Oracle,1312.022
2018-08,Oracle,1309.117
2018-09,Oracle,1319.268
2018-10,Oracle,1301.112
2018-11,Oracle,1283.222
2018-12,Oracle,1268.836
2019-01,Oracle,1264.017
2019-02,Oracle,1279.138
2019-03,Oracle,1279.94
2019-04,Oracle,1285.549
2019-05,Oracle,1299.215
2019-06,Oracle,1321.257
2019-07,Oracle,1339.477
2019-08,Oracle,1346.657
2019-09,Oracle,1355.878
2019-10,Oracle,1336.068
2019-11,Oracle,1346.393
2019-12,Oracle,1346.682
2020-01,Oracle,1344.75
2020-02,Oracle,1340.641
2020-03,Oracle,1345.422
2020-04,Oracle,1345.441
2020-05,Oracle,1343.587
2020-06,Oracle,1340.256
2020-07,Oracle,1355.157
2020-08,Oracle,1369.363
2020-09,Oracle,1368.771
2020-10,Oracle,1344.997
2020-11,Oracle,1325.597
2020-12,Oracle,1322.935
2021-01,Oracle,1316.671
2021-02,Oracle,1321.734
2012-10,MySQL,1273.47
2012-11,MySQL,1324.673
2012-12,MySQL,1313.677
2013-01,MySQL,1284.783
2013-02,MySQL,1295.218
2013-03,MySQL,1342.454
2013-04,MySQL,1352.242
2013-05,MySQL,1334.944
